iter	Passed	Remaining
723	1585	604
724	1587	601
725	1589	599
726	1591	597
727	1594	595
728	1595	593
729	1597	590
730	1599	588
731	1601	586
732	1603	583
733	1605	581
734	1607	579
735	1609	577
736	1611	575
737	1613	572
738	1616	570
739	1618	568
740	1620	566
741	1623	564
742	1625	562
743	1626	559
744	1628	557
745	1630	555
746	1632	552
747	1634	550
748	1636	548
749	1638	546
750	1640	543
751	1642	541
752	1643	539
753	1645	536
754	1647	534
755	1650	532
756	1652	530
757	1653	528
758	1655	525
759	1657	523
760	1659	521
761	1661	519
762	1663	516
763	1665	514
764	1667	512
765	1670	510
766	1672	508
767	1675	505
768	1676	503
769	1678	501
770	1680	499
771	1682	496
772	1684	494
773	1686	492
774	1688	490
775	1690	487
776	1692	485
777	1694	483
778	1696	481
779	1698	479
780	1700	476
781	1702	474
782	1704	472
783	1706	470
784	1708	468
785	1710	465
786	1712	463
787	1714	461
788	1716	459
789	1718	456
790	1720	454
791	1722	452
792	1724	450
793	1725	447
794	1727	445
795	1730	443
796	1732	441
797	1734	439
798	1736	436
799	1738	434
800	1740	432
801	1742	430
802	1744	427
803	1746	425
804	1748	423
805	1749	421
806	1752	419
807	1754	416
808	1756	414
809	1758	412
810	1760	410
811	1762	408
812	1764	405
813	1766	403
814	1768	401
815	1770	399
816	1772	397
817	1774	394
818	1776	392
819	1778	390
820	1780	388
821	1782	385
822	1784	383
823	1785	381
824	1787	379
825	1789	377
826	1791	374
827	1793	372
828	1795	370
829	1797	368
830	1799	365
831	1801	363
832	1803	361
833	1805	359
834	1807	357
835	1809	354
836	1811	352
837	1812	350
838	1814	348
839	1816	345
840	1818	343
841	1820	341
842	1822	339
843	1824	337
844	1826	334
845	1827	332
846	1829	330
847	1831	328
848	1833	326
849	1835	323
850	1837	321
851	1839	319
852	1841	317
853	1843	315
854	1844	312
855	1846	310
856	1849	308
857	1850	306
858	1852	304
859	1854	301
860	1856	299
861	1858	297
862	1860	295
863	1862	293
864	1864	290
865	1866	288
866	1868	286
867	1870	284
868	1872	282
869	1874	280
870	1876	277
871	1877	275
872	1880	273
873	1881	271
874	1883	269
875	1885	266
876	1888	264
877	1889	262
878	1891	260
879	1893	258
880	1895	256
881	1897	253
882	1899	251
883	1902	249
884	1904	247
885	1905	245
886	1907	243
887	1909	240
888	1911	238
889	1913	236
890	1914	234
891	1916	232
892	1918	229
893	1920	227
894	1922	225
895	1925	223
896	1927	221
897	1929	219
898	1931	217
899	1933	214
900	1935	212
901	1937	210
902	1939	208
903	1941	206
904	1943	204
905	1945	201
906	1947	199
907	1949	197
908	1951	195
909	1954	193
910	1956	191
911	1958	188
912	1959	186
913	1962	184
914	1964	182
915	1966	180
916	1968	178
917	1969	175
918	1971	173
919	1973	171
920	1975	169
921	1977	167
922	1979	165
923	1982	163
924	1984	160
925	1986	158
926	1988	156
927	1990	154
928	1992	152
929	1994	150
930	1996	147
931	1997	145
932	1999	143
933	2001	141
934	2003	139
935	2004	137
936	2006	134
937	2008	132
938	2010	130
939	2011	128
940	2014	126
941	2016	124
942	2017	121
943	2019	119
944	2021	117
945	2023	115
946	2024	113
947	2026	111
948	2028	109
949	2030	106
950	2032	104
951	2034	102
952	2035	100
953	2037	98
954	2039	96
955	2042	93
956	2043	91
957	2045	89
958	2047	87
959	2049	85
960	2050	83
961	2052	81
962	2054	78
963	2056	76
964	2058	74
965	2060	72
966	2062	70
967	2063	68
968	2065	66
969	2067	63
970	2069	61
971	2071	59
972	2073	57
973	2075	55
974	2076	53
975	2078	51
976	2080	48
977	2082	46
978	2084	44
979	2085	42
980	2087	40
981	2090	38
982	2091	36
983	2093	34
984	2095	31
985	2096	29
986	2098	27
987	2100	25
988	2102	23
989	2104	21
990	2106	19
991	2108	17
992	2109	14
993	2111	12
994	2113	10
995	2115	8
996	2117	6
997	2120	4
998	2122	2
999	2123	0
